2021-07-05,语文,150,107,27,127,107.69
2021-07-05,数学,150,109,6,46,91.52
2021-07-05,英语,150,112.5,32,165,119.45
2021-07-05,历史,100,94,11,41,91.66
2021-07-05,地理,100,90,9,43,84.61
2021-07-05,政治,100,69,39,189,77.84
2021-07-05,总分,550,422.5,19,113,410.33
2021-10-21,语文,150,109,25,112,109.78
2021-10-21,数学,150,111,3,39,89.44
2021-10-21,英语,150,110,29,148,110.12
2021-10-21,历史,100,76,11,62,70.3
2021-10-21,地理,100,73,13,13,68.41
2021-10-21,政治,100,79,5,5,69.13
2021-10-21,总分,550,406,12,86,380.48
2021-12-02,语文,150,117,16,72,113.02
2021-12-02,数学,150,110,6,56,88.73
2021-12-02,英语,150,87.5,40,186,103.9
2021-12-02,历史,100,63,38,184,70.73
2021-12-02,地理,100,70,17,164,66.31
2021-12-02,政治,100,73,16,103,68.36
2021-12-02,总分,550,377.5,26,139,376.39
2022-01-17,语文,150,106,20,123,0
2022-01-17,数学,150,107,9,64,0
2022-01-17,英语,150,110.5,31,157,0
2022-01-17,历史,100,86,15,66,0
2022-01-17,地理,100,65,27,218,0
2022-01-17,政治,100,84,10,52,0
2022-01-17,总分,550,409.5,13,109,0
2022-05-14,语文,150,114,13,71,108.74
2022-05-14,数学,150,132,2,5,91.87
2022-05-14,英语,150,100.5,36,174,109.84
2022-05-14,历史,100,82,6,59,74.96
2022-05-14,地理,100,79,6,6,73.28
2022-05-14,政治,100,69,35,177,76.02
2022-05-14,总分,550,428.5,8,48,385.4
